1676844935306	20759,0,69541888	20777,0,66322432	20796,0,67117056	20814,0,69238784	20833,0,67936256	20852,0,66072576
1676844936309	20759,67,114741248	20777,79,114847744	20796,105,123588608	20814,109.00000000000001,113848320	20833,107,115163136	20852,88,112316416
1676844937311	20759,16.831683168316832,132501504	20777,14.85148514851485,132472832	20796,3.9603960396039604,123588608	20814,5.9405940594059405,115978240	20833,20.792079207920793,123277312	20852,35.64356435643564,124518400
1676844938313	20759,3,132501504	20777,3,132472832	20796,0,123588608	20814,0,115978240	20833,0,123277312	20852,0,124518400
1676844939315	20759,2,134873088	20777,0,132472832	20796,11,139067392	20814,1,116219904	20833,0,123277312	20852,0,124518400
1676844940316	20759,6,135450624	20777,2,134844416	20796,7.000000000000001,141471744	20814,7.000000000000001,130019328	20833,0,123277312	20852,0,124518400
1676844941318	20759,12,140132352	20777,2,135135232	20796,15,146706432	20814,6,133296128	20833,1,123277312	20852,1,124522496
1676844942321	20759,0.9900990099009901,140505088	20777,0.9900990099009901,135675904	20796,1.9801980198019802,147902464	20814,2.9702970297029703,135995392	20833,8.91089108910891,139059200	20852,0.9900990099009901,124690432
1676844943325	20759,2,140505088	20777,1,135630848	20796,2,148176896	20814,9,140234752	20833,11,145952768	20852,10,140115968
1676844944327	20759,1,140505088	20777,2,135938048	20796,2,148176896	20814,3,140234752	20833,4,146669568	20852,4,142860288
1676844945330	20759,10,148795392	20777,2,138035200	20796,2,148176896	20814,1,140234752	20833,1,146669568	20852,2,142893056
1676844946332	20759,5.9405940594059405,149966848	20777,0,138035200	20796,0,148176896	20814,0,140234752	20833,0.9900990099009901,146669568	20852,0.9900990099009901,142893056
1676844947334	20759,90,157728768	20777,72,147288064	20796,106,153239552	20814,88,153190400	20833,38,147869696	20852,72,150839296
1676844948351	20759,87.12871287128714,223256576	20777,151.4851485148515,170438656	20796,110.8910891089109,196644864	20814,140.59405940594058,181940224	20833,88.11881188118812,155103232	20852,76.23762376237624,153513984
1676844949355	20759,225.74257425742573,241713152	20777,124.75247524752476,172544000	20796,82.17821782178217,217686016	20814,233.66336633663366,211922944	20833,188.1188118811881,207769600	20852,27.722772277227726,153935872
1676844950357	20759,177,254631936	20777,49,179798016	20796,26,218075136	20814,83,224854016	20833,117,214732800	20852,49,154427392
1676844951359	20759,97,254824448	20777,21,188362752	20796,202.99999999999997,232546304	20814,96,233398272	20833,178,243179520	20852,124,174567424
1676844952364	20759,202.97029702970298,256806912	20777,36.633663366336634,188456960	20796,98.01980198019803,236212224	20814,177.22772277227722,248061952	20833,134.65346534653466,257949696	20852,174.25742574257427,233984000
