1676844817952	19656,0,68227072	19689,0,69918720	19708,0,69038080	19740,0,68702208
1676844818957	19656,85.14851485148515,101302272	19689,82.17821782178217,137043968	19708,79.20792079207921,135888896	19740,74.25742574257426,135462912
1676844819960	19656,107.92079207920793,127672320	19689,130.6930693069307,133455872	19708,157.42574257425744,125411328	19740,156.43564356435644,123518976
1676844820964	19656,1,127672320	19689,0,133455872	19708,0,125411328	19740,0,123518976
1676844821967	19656,0,127672320	19689,1,133455872	19708,13,138883072	19740,1,123518976
1676844822970	19656,0,127672320	19689,2.9702970297029703,136089600	19708,0.9900990099009901,138891264	19740,7.920792079207921,137445376
1676844823974	19656,8,134877184	19689,0,136089600	19708,0,138891264	19740,1,137453568
1676844824976	19656,113.99999999999999,180027392	19689,73,147931136	19708,135,171814912	19740,137,167895040
1676844825978	19656,135,238845952	19689,49,151728128	19708,115.99999999999999,211861504	19740,103,239947776
1676844826986	19656,145.54455445544554,249589760	19689,39.603960396039604,166842368	19708,152.4752475247525,257323008	19740,136.63366336633663,254222336
1676844827990	19656,141,249589760	19689,33,182407168	19708,119,257642496	19740,147,273756160
1676844828993	19656,120.79207920792079,249593856	19689,25.742574257425744,197087232	19708,147.5247524752475,272494592	19740,90.0990099009901,273772544
1676844829996	19656,197,300253184	19689,30,209670144	19708,107,272494592	19740,92,274399232
1676844830999	19656,257,321069056	19689,54,229412864	19708,156,278708224	19740,112.99999999999999,282804224
1676844832003	19656,281.18811881188117,378482688	19689,100,245186560	19708,129.7029702970297,278708224	19740,149.5049504950495,297943040
1676844833004	19656,165,378753024	19689,27,245723136	19708,175,282664960	19740,108,299827200
1676844834011	19656,111.88118811881189,378753024	19689,38.613861386138616,246235136	19708,127.72277227722772,282685440	19740,273.26732673267327,314421248
1676844835014	19656,79,378777600	19689,10,246235136	19708,64,282701824	19740,80,314916864
1676844836015	19656,66,378777600	19689,35,252723200	19708,45,282763264	19740,43,314916864
1676844837016	19656,59,378777600	19689,41,255156224	19708,40,282763264	19740,39,314916864
1676844838016	19656,57.99999999999999,378777600	19689,17,263544832	19708,41,282841088	19740,39,314916864
1676844839018	19656,62,378777600	19689,4,263544832	19708,45,282841088	19740,41,314916864
1676844840024	19656,59.4059405940594,378777600	19689,3.9603960396039604,263544832	19708,41.584158415841586,282841088	19740,38.613861386138616,314916864
1676844841026	19656,60,378859520	19689,4,263544832	19708,42,282841088	19740,38,314916864
1676844842026	19656,61,378859520	19689,4,263544832	19708,41,282841088	19740,67,317079552
1676844843027	19656,59,378859520	19689,4,263544832	19708,37,282841088	19740,68,319242240
1676844844028	19656,56.00000000000001,378859520	19689,5,263696384	19708,40,283111424	19740,43,319242240
1676844845029	19656,58.415841584158414,378859520	19689,4.9504950495049505,265793536	19708,44.554455445544555,283316224	19740,65.34653465346535,320704512
1676844846030	19656,54,378859520	19689,14.000000000000002,278376448	19708,39,283557888	19740,34,320757760
1676844847032	19656,57.99999999999999,378859520	19689,4,278376448	19708,39,283557888	19740,38,320757760
1676844848033	19656,92,378859520	19689,8,278646784	19708,65,283557888	19740,53,320757760
1676844849035	19656,71,378859520	19689,9,278646784	19708,52,283557888	19740,50,320757760
1676844850036	19656,55.00000000000001,378859520	19689,5,278646784	19708,37,283557888	19740,34,320757760
1676844851037	19656,64,378859520	19689,4,278646784	19708,43,283668480	19740,40,320757760
1676844852039	19656,61,378859520	19689,6,278646784	19708,40,283668480	19740,39,320757760
1676844853043	19656,58.415841584158414,378859520	19689,3.9603960396039604,278732800	19708,38.613861386138616,283668480	19740,33.663366336633665,320757760
1676844854048	19656,113.99999999999999,378945536	19689,37,278732800	19708,80,283668480	19740,61,320757760
1676844855050	19656,96.03960396039604,378945536	19689,5.9405940594059405,278732800	19708,68.31683168316832,283668480	19740,55.44554455445545,320757760
1676844856053	19656,91,378945536	19689,7.000000000000001,278732800	19708,59,283668480	19740,51,320757760
1676844857055	19656,103,378945536	19689,6,278732800	19708,65,283668480	19740,68,320757760
1676844858056	19656,107,378945536	19689,5,278732800	19708,74,283668480	19740,56.00000000000001,320757760
1676844859060	19656,78.21782178217822,378945536	19689,4.9504950495049505,278732800	19708,85.14851485148515,292589568	19740,45.54455445544555,320757760
1676844860063	19656,83,379019264	19689,5,278732800	19708,51,292589568	19740,47,320757760
1676844861065	19656,69,379019264	19689,5,278732800	19708,83,293670912	19740,42,320757760
1676844862066	19656,67,379019264	19689,4,278732800	19708,44,293756928	19740,42,320757760
1676844863067	19656,73,379019264	19689,8,278732800	19708,45,293756928	19740,44,320757760
1676844864068	19656,66,379019264	19689,5,278732800	19708,77,295919616	19740,40,320757760
1676844865069	19656,56.00000000000001,379019264	19689,3,278732800	19708,39,295919616	19740,34,320757760
1676844866072	19656,57.42574257425742,379019264	19689,4.9504950495049505,278732800	19708,43.56435643564357,295919616	19740,33.663366336633665,320757760
1676844867072	19656,54,379019264	19689,4,278732800	19708,35,295919616	19740,31,320757760
1676844868075	19656,54,379019264	19689,3,278732800	19708,33,295919616	19740,32,320757760
