1676816892972	2146,0,68136960	2175,0,66285568	2200,0,67444736	2219,0,67907584	2250,0,71020544
1676816893974	2146,93.06930693069307,133349376	2175,102.97029702970298,134168576	2200,95.04950495049505,121921536	2219,98.01980198019803,123441152	2250,84.15841584158416,123568128
1676816894977	2146,3,135798784	2175,1,134168576	2200,0,121921536	2219,0,123441152	2250,0,123568128
1676816895980	2146,20,140128256	2175,0,134168576	2200,0,121921536	2219,0,123441152	2250,0,123568128
1676816896999	2146,0.9900990099009901,140132352	2175,1.9801980198019802,136544256	2200,4.9504950495049505,135200768	2219,0,123686912	2250,0.9900990099009901,123568128
1676816898001	2146,3.9215686274509802,140398592	2175,0.9803921568627451,136544256	2200,4.901960784313726,138264576	2219,0.9803921568627451,123686912	2250,0,123568128
1676816899004	2146,6,143089664	2175,3,137220096	2200,2,138555392	2219,10,139874304	2250,1,124067840
1676816900004	2146,1,143089664	2175,1,137326592	2200,0,138493952	2219,1,141979648	2250,6,139997184
1676816901006	2146,7.000000000000001,148709376	2175,4,137625600	2200,2,138493952	2219,2,142270464	2250,1,140021760
1676816902034	2146,7.000000000000001,149266432	2175,1,137625600	2200,4,141320192	2219,1,142270464	2250,0,142118912
1676816903036	2146,210.67961165048544,248287232	2175,147.5728155339806,151130112	2200,66.01941747572816,146370560	2219,41.74757281553398,148279296	2250,274.75728155339806,195944448
1676816904038	2146,222.00000000000003,251027456	2175,177,195665920	2200,5,146636800	2219,329,193478656	2250,65,199512064
1676816905041	2146,216.83168316831686,252964864	2175,67.32673267326733,204570624	2200,34.65346534653465,146939904	2219,73.26732673267327,223330304	2250,271.2871287128713,263712768
1676816906042	2146,285,257347584	2175,27,204570624	2200,3,147296256	2219,149,251064320	2250,71,266166272
1676816907045	2146,350,311382016	2175,31,204570624	2200,40,147927040	2219,42,252215296	2250,206,267632640
1676816908050	2146,262,362283008	2175,13,209014784	2200,5,148082688	2219,69,255725568	2250,0,0
1676816909052	2146,153.46534653465346,519229440	2175,89.10891089108911,224493568	2200,0.9900990099009901,148082688	2219,134.65346534653466,261013504	2250,0,0
1676816910055	2146,179,519229440	2175,209,259633152	2200,2,148082688	2219,213,279187456	2250,0,0
1676816911057	2146,175,521928704	2175,162,284680192	2200,1,148082688	2219,154,279224320	2250,0,0
1676816912059	2146,209,534712320	2175,17,293068800	2200,1,148082688	2219,186,279502848	2250,0,0
1676816913061	2146,131.68316831683168,534712320	2175,47.524752475247524,314040320	2200,298.019801980198,206815232	2219,204.95049504950495,301932544	2250,0,0
1676816914063	2146,150,534888448	2175,4,320364544	2200,19,217571328	2219,0,0	2250,0,0
1676816915064	2146,177,534888448	2175,11,335044608	2200,163,251334656	2219,0,0	2250,0,0
1676816916066	2146,147,534888448	2175,52,335044608	2200,190,267087872	2219,0,0	2250,0,0
1676816917067	2146,156,584163328	2175,32,335446016	2200,254.99999999999997,274612224	2219,0,0	2250,0,0
1676816918071	2146,188,627060736	2175,8,335446016	2200,204.99999999999997,317374464	2219,0,0	2250,0,0
1676816919072	2146,147.5247524752475,627060736	2175,6.9306930693069315,335446016	2200,156.43564356435644,317620224	2219,0,0	2250,0,0
1676816920073	2146,57.99999999999999,627204096	2175,0,0	2200,128,326258688	2219,0,0	2250,0,0
