1676816703689	30976,0,68042752	30995,0,68616192	31014,0,66334720	31033,0,66408448	31051,0,67010560
1676816704690	30976,66,130895872	30995,59,129503232	31014,68,116604928	31033,72,121139200	31051,83,123678720
1676816705695	30976,2.9702970297016007,131223552	30995,0.9900990099005336,129503232	31014,0,116604928	31033,0,121139200	31051,0,123678720
1676816706698	30976,6,134774784	30995,0,129503232	31014,0,116604928	31033,0,121139200	31051,0,123678720
1676816707699	30976,56.99999999999999,139247616	30995,2,129777664	31014,5,130232320	31033,1,121139200	31051,2,123678720
1676816708703	30976,5.9405940594059405,140627968	30995,1.9801980198019802,130187264	31014,5.9405940594059405,133222400	31033,1.9801980198019802,121163776	31051,0,123678720
1676816709704	30976,2,140738560	30995,3,132825088	31014,1,135581696	31033,11,138629120	31051,1,124162048
1676816710705	30976,1,141574144	30995,3,133214208	31014,2,135827456	31033,1,140857344	31051,8,140169216
1676816711707	30976,8,149393408	30995,1,133214208	31014,0,135827456	31033,2,140857344	31051,0,142274560
1676816712709	30976,18,153595904	30995,1,133214208	31014,15,149950464	31033,1,140857344	31051,1,142274560
1676816713709	30976,229.99999999999997,218480640	30995,190,161615872	31014,54,151785472	31033,39,147582976	31051,306,200765440
1676816714711	30976,88.11881188118812,250929152	30995,66.33663366336634,162344960	31014,0.9900990099009901,151826432	31033,163.36633663366337,176025600	31051,93.06930693069307,263651328
1676816715713	30976,146,254582784	30995,28.000000000000004,181501952	31014,24,152281088	31033,21,176574464	31051,149,264970240
1676816716715	30976,161,256815104	30995,13,183599104	31014,3,152281088	31033,110.00000000000001,204046336	31051,47,264970240
1676816717716	30976,211,278355968	30995,21,183599104	31014,0,152281088	31033,18,228401152	31051,75,265211904
1676816718717	30976,149,369573888	30995,18,183599104	31014,1,152281088	31033,74,247410688	31051,14.000000000000002,265211904
1676816719721	30976,250.4950495049505,377126912	30995,45.54455445544555,199073792	31014,1.9801980198019802,152379392	31033,0,0	31051,121.78217821782178,281432064
1676816720726	30976,227,393404416	30995,149,225845248	31014,342,179773440	31033,0,0	31051,88,285622272
1676816721732	30976,220.7920792079208,535937024	30995,240.59405940594058,271597568	31014,21.782178217821784,188583936	31033,0,0	31051,206.93069306930693,285966336
1676816722735	30976,174,535937024	30995,279,318750720	31014,20,203313152	31033,0,0	31051,227.99999999999997,287313920
1676816723738	30976,163,535937024	30995,67,329531392	31014,0,203313152	31033,0,0	31051,270,299757568
1676816724740	30976,206.99999999999997,537636864	30995,9,329850880	31014,1,203313152	31033,0,0	31051,171,299995136
1676816725743	30976,119.80198019801979,537653248	30995,9.900990099009901,329801728	31014,0,0	31033,0,0	31051,28.71287128712871,300109824
1676816726745	30976,184,537653248	30995,12,329863168	31014,0,0	31033,0,0	31051,156,300494848
1676816727749	30976,148,537653248	30995,47,329863168	31014,0,0	31033,0,0	31051,146,300494848
1676816728751	30976,133.66336633663366,537653248	30995,26.732673267326735,330403840	31014,0,0	31033,0,0	31051,103.96039603960396,340963328
1676816729758	30976,89,537653248	30995,6,330403840	31014,0,0	31033,0,0	31051,94,340963328
1676816730759	30976,92,537743360	30995,69,334598144	31014,0,0	31033,0,0	31051,85,455151616
1676816731762	30976,146.53465346534654,537743360	30995,14.85148514851485,334598144	31014,0,0	31033,0,0	31051,68.31683168316832,455151616
1676816732763	30976,7.000000000000001,537743360	30995,0,0	31014,0,0	31033,0,0	31051,8,455254016
