1676816792164	32655,0,70402048	32674,0,67170304	32708,0,69742592	32727,0,67293184
1676816793167	32655,55.00000000000001,132780032	32674,60,133885952	32708,68,124203008	32727,60,122028032
1676816794170	32655,2,132988928	32674,0,133885952	32708,0,124203008	32727,0,122028032
1676816795172	32655,0.9900990099009901,135122944	32674,1.9801980198019802,134430720	32708,5.9405940594059405,137641984	32727,0,122028032
1676816796174	32655,3,136753152	32674,2,134942720	32708,4,140713984	32727,5,135450624
1676816797176	32655,122,148123648	32674,4,137068544	32708,2,140713984	32727,13,138387456
1676816798178	32655,8,148762624	32674,5,137605120	32708,3,142811136	32727,2,140484608
1676816799179	32655,76,153595904	32674,46,146817024	32708,71,148054016	32727,79,148611072
1676816800182	32655,187.12871287128715,224157696	32674,145.54455445544554,156209152	32708,127.72277227722772,155840512	32727,294.05940594059405,228216832
1676816801185	32655,244,254050304	32674,141,162975744	32708,358,216477696	32727,39,237023232
1676816802191	32655,244.55445544554456,256757760	32674,43.56435643564357,176979968	32708,66.33663366336634,233660416	32727,157.42574257425744,252370944
1676816803197	32655,236,296882176	32674,28.999999999999996,177246208	32708,206.99999999999997,261931008	32727,85,254545920
1676816804200	32655,386.13861386138615,315781120	32674,37.62376237623762,177246208	32708,20.792079207920793,264028160	32727,226.7326732673267,255115264
1676816805203	32655,303,447569920	32674,41,196268032	32708,63,264097792	32727,143,255291392
1676816806206	32655,299,452706304	32674,130,225054720	32708,229.99999999999997,264638464	32727,35,255434752
1676816807208	32655,227,453013504	32674,147,245387264	32708,16,264724480	32727,189,275034112
1676816808219	32655,126.73267326732673,454025216	32674,25.742574257425744,254517248	32708,78.21782178217822,277790720	32727,0,0
1676816809223	32655,154.45544554455446,454025216	32674,11.881188118811881,275488768	32708,188.1188118811881,283938816	32727,0,0
1676816810225	32655,147,454025216	32674,9,275603456	32708,181,284225536	32727,0,0
1676816811228	32655,182,461148160	32674,6,275603456	32708,249.00000000000003,296386560	32727,0,0
1676816812231	32655,138.6138613861386,463851520	32674,3.9603960396039604,275603456	32708,128.7128712871287,307228672	32727,0,0
1676816813233	32655,72,464179200	32674,34,275873792	32708,67,307298304	32727,0,0
1676816814235	32655,160,464179200	32674,55.00000000000001,283983872	32708,168,347934720	32727,0,0
1676816815235	32655,153,553091072	32674,52,288309248	32708,115.99999999999999,347934720	32727,0,0
1676816816237	32655,151,553091072	32674,7.000000000000001,288309248	32708,123,347934720	32727,0,0
1676816817240	32655,1,553091072	32674,0,0	32708,8,347934720	32727,0,0
