1676841722147	7098,0,68808704	7131,0,70045696	7150,0,69517312	7182,0,66576384
1676841723152	7098,52.475247524752476,131260416	7131,49.504950495049506,129966080	7150,55.44554455445545,125231104	7182,51.48514851485149,122601472
1676841724156	7098,3,131530752	7131,0,129966080	7150,0,125480960	7182,0,122601472
1676841725158	7098,2,133627904	7131,2,130273280	7150,6,138797056	7182,0,122601472
1676841726161	7098,3.9603960396039604,136454144	7131,3.9603960396039604,130887680	7150,4.9504950495049505,142036992	7182,6.9306930693069315,136052736
1676841727163	7098,12,143937536	7131,3,133013504	7150,2,142036992	7182,7.000000000000001,138997760
1676841728166	7098,17,149307392	7131,3,133550080	7150,2,144134144	7182,2,141635584
1676841729176	7098,66.33663366336634,156901376	7131,53.46534653465347,152301568	7150,47.524752475247524,152440832	7182,69.3069306930693,150900736
1676841730177	7098,223,251523072	7131,110.00000000000001,184078336	7150,74,158199808	7182,265,261394432
1676841731178	7098,250.99999999999997,322412544	7131,47,209027072	7150,210,254382080	7182,26,261914624
1676841732180	7098,226.7326732673267,377524224	7131,55.44554455445545,212000768	7150,31.683168316831683,254492672	7182,130.6930693069307,272629760
1676841733183	7098,190,435744768	7131,188,277061632	7150,140,268759040	7182,46,276516864
1676841734184	7098,173,437977088	7131,11,277061632	7150,1,268824576	7182,165,283312128
1676841735185	7098,171,437977088	7131,10,291942400	7150,45,269090816	7182,195,306221056
1676841736186	7098,161,438005760	7131,82,306679808	7150,155,280182784	7182,47,306221056
1676841737187	7098,168,438005760	7131,51,311115776	7150,61,286134272	7182,87,306352128
1676841738188	7098,165,438075392	7131,30,328912896	7150,276,310185984	7182,35,306442240
1676841739189	7098,161,438140928	7131,10,328912896	7150,3,310390784	7182,148,306442240
1676841740190	7098,175.24752475247524,438214656	7131,7.920792079207921,329015296	7150,3.9603960396039604,310390784	7182,107.92079207920793,346632192
1676841741191	7098,157,438501376	7131,44,329285632	7150,42,310390784	7182,77,395284480
1676841742192	7098,166,438501376	7131,19,329555968	7150,127,310726656	7182,30,395362304
1676841743193	7098,156,438628352	7131,54,329555968	7150,14.000000000000002,310755328	7182,119,395522048
1676841744195	7098,176,438628352	7131,9,329555968	7150,2,310759424	7182,115.99999999999999,395792384
1676841745197	7098,157,438628352	7131,10,329555968	7150,38,310759424	7182,83,395792384
1676841746198	7098,171,438628352	7131,13,329646080	7150,124,314613760	7182,28.999999999999996,395792384
1676841747199	7098,152,438628352	7131,12,329646080	7150,34,314613760	7182,88,395935744
1676841748200	7098,155.44554455445544,438628352	7131,8.91089108910891,329646080	7150,109.9009900990099,314949632	7182,8.91089108910891,395935744
1676841749202	7098,165,438722560	7131,10,329646080	7150,100,315027456	7182,39,395935744
1676841750204	7098,169,438722560	7131,13,329646080	7150,18,315027456	7182,119,395935744
1676841751205	7098,159,438722560	7131,8,329646080	7150,27,315088896	7182,89,395935744
1676841752206	7098,161,438796288	7131,11,329646080	7150,94,315256832	7182,28.999999999999996,395935744
1676841753208	7098,157,438796288	7131,11,329740288	7150,11,315256832	7182,97,396226560
1676841754211	7098,145.54455445544554,438796288	7131,5.9405940594059405,329740288	7150,0.9900990099009901,315256832	7182,134.65346534653466,408391680
1676841755212	7098,156,438796288	7131,12,329740288	7150,28.000000000000004,315256832	7182,77,408391680
1676841756214	7098,165,441954304	7131,12,329740288	7150,100,315256832	7182,32,408391680
1676841757216	7098,161,442486784	7131,11,329740288	7150,11,315256832	7182,94,408391680
1676841758217	7098,154,442486784	7131,13,329818112	7150,26,315256832	7182,89,408391680
1676841759219	7098,155,442486784	7131,11,329818112	7150,119,315326464	7182,11,408473600
1676841760221	7098,148.5148514851485,442486784	7131,8.91089108910891,329818112	7150,101.98019801980197,315326464	7182,35.64356435643564,408621056
1676841761222	7098,163,442486784	7131,10,329818112	7150,21,315326464	7182,112.00000000000001,408887296
1676841762224	7098,151,442486784	7131,13,329818112	7150,84,315326464	7182,21,409092096
1676841763225	7098,158,442753024	7131,12,329818112	7150,22,315326464	7182,91,409092096
1676841764226	7098,152,442753024	7131,10,329818112	7150,99,315404288	7182,12,409092096
1676841765227	7098,173,442843136	7131,10,329818112	7150,120,325398528	7182,53,409092096
1676841766229	7098,157,442843136	7131,13,329895936	7150,9,325398528	7182,124,409092096
1676841767230	7098,155.44554455445544,442843136	7131,8.91089108910891,329895936	7150,30.693069306930692,325468160	7182,88.11881188118812,409165824
1676841768231	7098,157,442843136	7131,17,329895936	7150,129,327356416	7182,30,409165824
1676841769232	7098,151,442843136	7131,9,329895936	7150,35,327491584	7182,96,409305088
1676841770234	7098,151,442896384	7131,9,329895936	7150,82,327577600	7182,25,409366528
1676841771236	7098,152,442896384	7131,12,329895936	7150,22,327577600	7182,100,409456640
1676841772237	7098,150,442896384	7131,9,329895936	7150,103,327852032	7182,31,409522176
1676841773238	7098,150,442896384	7131,9,329895936	7150,22,327852032	7182,110.00000000000001,409591808
1676841774240	7098,155.44554455445544,442966016	7131,12.871287128712872,329895936	7150,89.10891089108911,327979008	7182,28.71287128712871,409591808
1676841775241	7098,153,442966016	7131,11,329895936	7150,0,327979008	7182,108,409591808
1676841776245	7098,125,442966016	7131,10,329801728	7150,8,327979008	7182,87,409686016
1676841777247	7098,2,442494976	7131,0,0	7150,3,328101888	7182,4,409960448
