1676816621942	29415,0,67018752	29435,0,67346432	29473,0,67547136	29492,0,68804608	29511,0,67039232	29529,0,67207168
1676816622948	29415,60,129253376	29435,67,134213632	29473,78,121823232	29492,67,118198272	29511,77,123973632	29529,59,115159040
1676816623951	29415,1.9801980198019802,129290240	29435,0.9900990099009901,134213632	29473,0,121823232	29492,0,118198272	29511,0,123973632	29529,0,115159040
1676816624953	29415,2,131629056	29435,2,134221824	29473,7.000000000000001,137482240	29492,0,118198272	29511,1,123973632	29529,1,115425280
1676816625964	29415,36.633663366319745,136359936	29435,0.9900990099005336,134221824	29473,0.9900990099005336,137482240	29492,0,118198272	29511,0,123973632	29529,0,115425280
1676816626967	29415,47,136380416	29435,4,134496256	29473,34,144961536	29492,10,132218880	29511,0,123973632	29529,0,115425280
1676816627968	29415,3,136585216	29435,2,134955008	29473,4,145494016	29492,4,134815744	29511,2,124309504	29529,1,115560448
1676816628971	29415,0,136585216	29435,0.9900990099019031,135495680	29473,1.9801980198038063,145494016	29492,1.9801980198038063,136945664	29511,9.90099009901903,139821056	29529,0,115560448
1676816629972	29415,2,136585216	29435,2,135770112	29473,1,145993728	29492,1,137216000	29511,2,142622720	29529,6,131661824
1676816630975	29415,0,136585216	29435,0,135770112	29473,2,145993728	29492,1,137216000	29511,120,147128320	29529,2,134037504
1676816631978	29415,8,144334848	29435,1,135770112	29473,0,146264064	29492,0,137216000	29511,0,147128320	29529,2,134053888
1676816632978	29415,20,146362368	29435,0,137867264	29473,21,148021248	29492,1,137216000	29511,1,147128320	29529,1,134053888
1676816634014	29415,156.8627450979676,196632576	29435,130.39215686268557,149770240	29473,114.7058823528888,155475968	29492,130.39215686268557,157765632	29511,202.94117647049558,153837568	29529,249.99999999988586,155111424
1676816635028	29415,166.01941747572815,227000320	29435,142.71844660194176,157757440	29473,206.79611650485435,219123712	29492,151.45631067961165,168103936	29511,163.10679611650485,174280704	29529,213.59223300970874,170655744
1676816636030	29415,245.00000000000003,253140992	29435,83,159174656	29473,80,224800768	29492,202.99999999999997,236388352	29511,217,219590656	29529,13,170860544
1676816637033	29415,195.04950495049505,253476864	29435,16.831683168316832,159330304	29473,256.43564356435644,233857024	29492,149.5049504950495,237252608	29511,108.91089108910892,262684672	29529,10.891089108910892,173027328
1676816638039	29415,249.00000000000003,255574016	29435,31,167718912	29473,41,246820864	29492,200.99999999999997,268521472	29511,128,262750208	29529,5,173027328
1676816639040	29415,259,302870528	29435,40,167718912	29473,178,259551232	29492,45,270684160	29511,56.00000000000001,262815744	29529,180,200847360
1676816640041	29415,160.39603960396042,303149056	29435,43.56435643564357,168525824	29473,58.415841584158414,267988992	29492,79.20792079207921,276299776	29511,96.03960396039604,0	29529,116.83168316831683,219648000
1676816641043	29415,305,377016320	29435,14.000000000000002,175185920	29473,180,268607488	29492,4,276361216	29511,0,0	29529,149,255631360
1676816642048	29415,182,377274368	29435,39,190676992	29473,216,282923008	29492,114.99999999999999,278077440	29511,0,0	29529,61,268484608
1676816643052	29415,134.6534653464726,377372672	29435,256.4356435642382,254750720	29473,194.0594059405046,289853440	29492,30.69306930691654,278200320	29511,0,0	29529,68.31683168313681,268816384
1676816644055	29415,169,377372672	29435,137,274665472	29473,173,289927168	29492,143,278200320	29511,0,0	29529,7.000000000000001,268816384
1676816645058	29415,155,377638912	29435,40,289345536	29473,177,292188160	29492,227,293056512	29511,0,0	29529,28.999999999999996,273010688
1676816646060	29415,134,377638912	29435,95,295636992	29473,297,305496064	29492,123,298606592	29511,0,0	29529,55.00000000000001,273104896
1676816647062	29415,144.55445544567783,377675776	29435,27.722772277253288,295907328	29473,299.0099009903747,349855744	29492,123.7623762377379,299143168	29511,0,0	29529,10.891089108920934,273104896
1676816648064	29415,105,377675776	29435,61,297148416	29473,100,350023680	29492,19,299155456	29511,0,0	29529,0,0
1676816649066	29415,8,377778176	29435,79,302813184	29473,36,350113792	29492,83,301584384	29511,0,0	29529,0,0
1676816650068	29415,168,377778176	29435,15,302813184	29473,150,350113792	29492,121,301961216	29511,0,0	29529,0,0
1676816651072	29415,32.67326732671761,377884672	29435,0.9900990099005336,302813184	29473,9.900990099005336,350113792	29492,9.900990099005336,301961216	29511,0,0	29529,0,0
1676816652096	29415,27.45098039214433,377884672	29435,4.901960784311488,302813184	29473,32.352941176455815,350113792	29492,64.70588235291163,301961216	29511,0,0	29529,0,0
1676816653098	29415,159,377884672	29435,25,302813184	29473,111.00000000000001,398749696	29492,95,302276608	29511,0,0	29529,0,0
1676816654100	29415,166,497831936	29435,6,302813184	29473,141,399020032	29492,88,304373760	29511,0,0	29529,0,0
1676816655103	29415,43.564356435683735,497831936	29435,1.9801980198038063,302907392	29473,16.83168316833235,399020032	29492,10.891089108920934,304373760	29511,0,0	29529,0,0
1676816656105	29415,8,497831936	29435,2,302907392	29473,47,399118336	29492,10,304373760	29511,0,0	29529,0,0
1676816657106	29415,166,497926144	29435,14.000000000000002,309198848	29473,92,399118336	29492,77,304373760	29511,0,0	29529,0,0
1676816658108	29415,1,497926144	29435,0,0	29473,1,399118336	29492,2,304324608	29511,0,0	29529,0,0
