1676606171627	4311,0,66473984	4330,0,65384448	4364,0,66576384	4408,0,66498560
1676606172629	4311,74.50980392156863,130097152	4330,92.15686274509804,134774784	4364,89.2156862745098,121647104	4408,87.25490196078431,120999936
1676606173633	4311,5,130244608	4330,1,134774784	4364,0,121647104	4408,0,120999936
1676606174635	4311,3,132341760	4330,5,134901760	4364,9,135286784	4408,1,121110528
1676606175640	4311,5.9405940594059405,132886528	4330,0,134901760	4364,7.920792079207921,138199040	4408,0,121110528
1676606176643	4311,91,137617408	4330,5,135548928	4364,2,140386304	4408,14.000000000000002,137289728
1676606177647	4311,16,145309696	4330,6,138145792	4364,7.000000000000001,140648448	4408,8,137523200
1676606178654	4311,9.900990099009901,146075648	4330,1.9801980198019802,138145792	4364,2.9702970297029703,141266944	4408,0.9900990099009901,137523200
1676606179656	4311,187.12871287128715,193994752	4330,120.79207920792079,148856832	4364,61.386138613861384,147775488	4408,245.54455445544554,162942976
1676606180659	4311,92,199667712	4330,35,153989120	4364,1,147775488	4408,72,181137408
1676606181661	4311,59,200331264	4330,67,188821504	4364,0,147775488	4408,78,182296576
1676606182662	4311,72,200437760	4330,14.000000000000002,197210112	4364,1,147775488	4408,49,197545984
1676606183663	4311,43,200437760	4330,44,203501568	4364,1,147775488	4408,91,209719296
1676606184665	4311,62,200437760	4330,7.000000000000001,203501568	4364,2,148041728	4408,33,209719296
1676606185668	4311,38.613861386138616,200781824	4330,7.920792079207921,203583488	4364,0,148041728	4408,69.3069306930693,209719296
1676606186670	4311,39,201097216	4330,5,203583488	4364,0,148041728	4408,27,209743872
1676606187672	4311,71,203063296	4330,7.000000000000001,203583488	4364,1,148041728	4408,75,230289408
1676606188673	4311,57.99999999999999,218472448	4330,20,203853824	4364,1,148041728	4408,48,230629376
1676606189675	4311,123,224686080	4330,18,208048128	4364,1,148041728	4408,71,230899712
1676606190677	4311,42.57425742574257,224956416	4330,47.524752475247524,212332544	4364,0,148209664	4408,22.772277227722775,230899712
1676606191680	4311,84,232517632	4330,8,212332544	4364,1,148209664	4408,56.99999999999999,230899712
1676606192683	4311,27,251392000	4330,4,212332544	4364,1,148209664	4408,57.99999999999999,230899712
1676606193685	4311,69,251465728	4330,7.000000000000001,212332544	4364,1,148209664	4408,81,231170048
1676606194687	4311,59.4059405940594,251465728	4330,3.9603960396039604,212332544	4364,0,148209664	4408,53.46534653465347,253886464
1676606195690	4311,67,251736064	4330,37,212332544	4364,2,148209664	4408,46,258351104
1676606196694	4311,34,251736064	4330,7.000000000000001,212332544	4364,0,148209664	4408,25,258351104
1676606197697	4311,92.07920792079209,251736064	4330,47.524752475247524,215511040	4364,0.9900990099009901,148209664	4408,86.13861386138613,258351104
1676606198700	4311,59,252149760	4330,98,227078144	4364,149,154300416	4408,0,0
1676606199702	4311,113.99999999999999,253497344	4330,19,235466752	4364,91,175288320	4408,0,0
1676606200703	4311,57.99999999999999,253706240	4330,4,235466752	4364,41,181919744	4408,0,0
1676606201706	4311,52,273899520	4330,10,235466752	4364,55.00000000000001,207167488	4408,0,0
1676606202708	4311,35.64356435643564,285454336	4330,3.9603960396039604,235466752	4364,43.56435643564357,208039936	4408,0,0
1676606203711	4311,89,285454336	4330,3,235466752	4364,66,210743296	4408,0,0
1676606204712	4311,48,285585408	4330,3,235466752	4364,25,210743296	4408,0,0
1676606205713	4311,56.99999999999999,285585408	4330,2,235466752	4364,41,211283968	4408,0,0
1676606206717	4311,39,285663232	4330,4,235466752	4364,40,228044800	4408,0,0
1676606207719	4311,96.03960396039604,285921280	4330,1.9801980198019802,235466752	4364,77.22772277227723,231014400	4408,0,0
1676606208720	4311,82,320856064	4330,4,235466752	4364,52,231641088	4408,0,0
1676606209722	4311,73,323993600	4330,39,235737088	4364,32,231690240	4408,0,0
1676606210725	4311,77,323993600	4330,5,235737088	4364,50,231690240	4408,0,0
1676606211728	4311,57.42574257425742,323993600	4330,52.475247524752476,235819008	4364,32.67326732673268,231690240	4408,0,0
1676606212731	4311,62,323993600	4330,61,235819008	4364,28.000000000000004,231792640	4408,0,0
1676606213732	4311,47,323993600	4330,4,235847680	4364,42,231792640	4408,0,0
1676606214734	4311,40,324071424	4330,46,235847680	4364,55.00000000000001,231792640	4408,0,0
1676606215737	4311,65.34653465346535,324071424	4330,18.81188118811881,235847680	4364,82.17821782178217,232062976	4408,0,0
1676606216738	4311,36,324071424	4330,3,235847680	4364,71,233676800	4408,0,0
1676606217740	4311,40,369807360	4330,4,235847680	4364,68,235630592	4408,0,0
1676606218742	4311,4,369807360	4330,0,0	4364,2,235675648	4408,0,0
