1676816962935	3315,0,69369856	3334,0,66547712	3353,0,69734400	3371,0,67153920	3390,0,70455296
1676816963936	3315,61,138309632	3334,55.00000000000001,133779456	3353,62,124203008	3371,50,115265536	3390,56.00000000000001,124076032
1676816964939	3315,4,138575872	3334,1,133779456	3353,0,124203008	3371,0,115265536	3390,0,124076032
1676816965941	3315,1.9801980198019802,140722176	3334,0,133779456	3353,0,124203008	3371,0,115265536	3390,0,124076032
1676816966942	3315,56.00000000000001,144916480	3334,2,136155136	3353,7.000000000000001,137945088	3371,0,115265536	3390,0,124076032
1676816967943	3315,4,145989632	3334,2,136708096	3353,4,141115392	3371,7.000000000000001,134705152	3390,0,124076032
1676816968945	3315,2,146255872	3334,5,137211904	3353,1,141361152	3371,5,137662464	3390,8,137818112
1676816969946	3315,4,146255872	3334,1,139366400	3353,1,143458304	3371,1,138043392	3390,2,140427264
1676816970959	3315,4.9504950495049505,147283968	3334,1.9801980198019802,139366400	3353,0.9900990099009901,143458304	3371,0,138043392	3390,0.9900990099009901,140427264
1676816971967	3315,35.64356435643564,149954560	3334,3.9603960396039604,144080896	3353,50.495049504950494,148475904	3371,13.861386138613863,143532032	3390,2.9702970297029703,140861440
1676816972967	3315,220.00000000000003,248987648	3334,148,168382464	3353,21,150900736	3371,69,152649728	3390,319,258191360
1676816973971	3315,217.82178217821783,255184896	3334,71.28712871287128,201515008	3353,32.67326732673268,151814144	3371,336.63366336633663,255967232	3390,12.871287128712872,258760704
1676816974975	3315,291,262930432	3334,40,224665600	3353,31,154279936	3371,39,256303104	3390,164,258895872
1676816975978	3315,298,360304640	3334,26,235151360	3353,12,156172288	3371,15,256307200	3390,200,259002368
1676816976980	3315,192,366080000	3334,1,235257856	3353,0,156172288	3371,66,258351104	3390,0,0
1676816977990	3315,145.54455445544554,572534784	3334,78.21782178217822,244715520	3353,43.56435643564357,156381184	3371,173.26732673267327,263217152	3390,0,0
1676816978999	3315,166.33663366336634,572612608	3334,189.1089108910891,272257024	3353,284.15841584158414,211152896	3371,76.23762376237624,263303168	3390,0,0
1676816980003	3315,149.5049504950495,572612608	3334,284.15841584158414,291770368	3353,13.861386138613863,211152896	3371,226.7326732673267,274653184	3390,0,0
1676816981005	3315,196,572612608	3334,23,292286464	3353,28.999999999999996,228147200	3371,229.99999999999997,285462528	3390,0,0
1676816982007	3315,165,572612608	3334,33,299393024	3353,193,253661184	3371,76,291299328	3390,0,0
1676816983008	3315,140,572997632	3334,2,299413504	3353,59,258260992	3371,0,0	3390,0,0
1676816984010	3315,164.35643564356434,573444096	3334,9.900990099009901,299462656	3353,201.98019801980197,289153024	3371,0,0	3390,0,0
1676816985012	3315,147,573444096	3334,8,299462656	3353,233,306106368	3371,0,0	3390,0,0
1676816986014	3315,154,573444096	3334,65,303788032	3353,169,309936128	3371,0,0	3390,0,0
1676816987017	3315,160,573521920	3334,79,306491392	3353,221,311439360	3371,0,0	3390,0,0
1676816988019	3315,136,573521920	3334,61,306491392	3353,204,352403456	3371,0,0	3390,0,0
1676816989022	3315,48.51485148514851,573521920	3334,0,0	3353,86.13861386138613,352542720	3371,0,0	3390,0,0
