1676753031411	2111,0,67502080	2144,0,66568192	2174,0,69525504	2193,0,67178496	2231,0,68321280
1676753032414	2111,55.00000000000001,131878912	2144,55.00000000000001,134742016	2174,60,124465152	2193,56.99999999999999,123932672	2231,51,122228736
1676753033416	2111,11,138326016	2144,0,135000064	2174,1,124588032	2193,0,123932672	2231,1,122228736
1676753034421	2111,2.9702970297029703,138326016	2144,0.9900990099009901,135000064	2174,0,124588032	2193,0,123932672	2231,0,122228736
1676753035425	2111,3,138641408	2144,2,137367552	2174,5,139796480	2193,0,123932672	2231,0,122228736
1676753036426	2111,4,139448320	2144,2,138027008	2174,6,140980224	2193,6,137256960	2231,0,122228736
1676753037428	2111,2.9702970297029703,140062720	2144,3.9603960396039604,138141696	2174,1.9801980198019802,143040512	2193,4.9504950495049505,140091392	2231,6.9306930693069315,138080256
1676753038433	2111,6,147677184	2144,4,140546048	2174,2,143040512	2193,2,142475264	2231,4,138575872
1676753039434	2111,8,148217856	2144,0,140546048	2174,1,143310848	2193,2,142475264	2231,0,138575872
1676753040438	2111,65,160960512	2144,64,152223744	2174,47,150171648	2193,48,149245952	2231,56.00000000000001,151113728
1676753041440	2111,89.10891089108911,244551680	2144,58.415841584158414,167428096	2174,0.9900990099009901,150269952	2193,1.9801980198019802,149442560	2231,159.40594059405942,213217280
1676753042441	2111,78,250458112	2144,22,182108160	2174,0,150269952	2193,0,149442560	2231,68,257916928
1676753043443	2111,44,250703872	2144,17,195772416	2174,2,150269952	2193,0,149442560	2231,41,257978368
1676753044444	2111,56.99999999999999,250974208	2144,8,195772416	2174,1,150310912	2193,1,149536768	2231,70,278007808
1676753045445	2111,72,268816384	2144,13,196038656	2174,0,150310912	2193,28.000000000000004,151908352	2231,43,278007808
1676753046448	2111,109.00000000000001,275767296	2144,9,196067328	2174,1,150310912	2193,0,0	2231,17,278007808
1676753047449	2111,64.35643564356435,283168768	2144,23.762376237623762,206958592	2174,0,150310912	2193,0,0	2231,44.554455445544555,278093824
1676753048450	2111,40,283365376	2144,105,259964928	2174,1,150310912	2193,0,0	2231,36,278102016
1676753049452	2111,38,283443200	2144,7.000000000000001,260243456	2174,0,150310912	2193,0,0	2231,108,299720704
1676753050454	2111,41,283521024	2144,4,260333568	2174,1,150310912	2193,0,0	2231,64,303419392
1676753051455	2111,57.99999999999999,283521024	2144,3,260333568	2174,0,150310912	2193,0,0	2231,55.00000000000001,303910912
1676753052456	2111,62,283521024	2144,5,272916480	2174,1,150310912	2193,0,0	2231,27,303972352
1676753053457	2111,73.26732673267327,283787264	2144,4.9504950495049505,287756288	2174,98.01980198019803,175898624	2193,0,0	2231,0,0
1676753054457	2111,47,283787264	2144,8,296144896	2174,77,253464576	2193,0,0	2231,0,0
1676753055459	2111,44,283787264	2144,3,296144896	2174,50,257990656	2193,0,0	2231,0,0
1676753056460	2111,50,283787264	2144,37,296144896	2174,42,259411968	2193,0,0	2231,0,0
1676753057461	2111,47,283787264	2144,14.000000000000002,303714304	2174,59,274280448	2193,0,0	2231,0,0
1676753058465	2111,79,283787264	2144,65,303984640	2174,67,274550784	2193,0,0	2231,0,0
1676753059470	2111,55.44554455445545,283873280	2144,6.9306930693069315,304201728	2174,104.95049504950495,279142400	2193,0,0	2231,0,0
1676753060473	2111,4,283906048	2144,0,0	2174,4,279453696	2193,0,0	2231,0,0
