1676816667153	30337,0,66748416	30367,0,67162112	30386,0,66412544	30403,0,68759552
1676816668153	30337,59,127729664	30367,51,125718528	30386,59,121212928	30403,57.99999999999999,122245120
1676816669155	30337,2,129867776	30367,0,125718528	30386,0,121212928	30403,0,122245120
1676816670156	30337,2,132235264	30367,3,127954944	30386,6,134455296	30403,0,122245120
1676816671157	30337,3,132771840	30367,3,128593920	30386,3,137912320	30403,5,135700480
1676816672160	30337,56.43564356435643,144719872	30367,0.9900990099009901,128901120	30386,0.9900990099009901,137912320	30403,3.9603960396039604,140845056
1676816673162	30337,7.000000000000001,145481728	30367,4,129191936	30386,1,138182656	30403,3,141099008
1676816674163	30337,84,167419904	30367,75,150609920	30386,49,148623360	30403,78,154513408
1676816675166	30337,120,239689728	30367,80,162959360	30386,1,148865024	30403,208,236179456
1676816676171	30337,130,249929728	30367,49,179834880	30386,59,150642688	30403,94,255598592
1676816677173	30337,99.99999999995389,250134528	30367,99.00990099005335,203702272	30386,191.089108910803,172077056	30403,71.28712871283842,261951488
1676816678175	30337,112.99999999999999,250257408	30367,25,204087296	30386,4,172408832	30403,104,262078464
1676816679177	30337,151,258904064	30367,25,204087296	30386,0,172408832	30403,103,275054592
1676816680178	30337,139,303251456	30367,13,204087296	30386,1,172408832	30403,135,281907200
1676816681179	30337,99,306880512	30367,15,208306176	30386,1,172408832	30403,55.00000000000001,282275840
1676816682180	30337,139,314445824	30367,111.00000000000001,212500480	30386,0,172408832	30403,60,282370048
1676816683181	30337,110.89108910901315,363069440	30367,129.7029702971493,248717312	30386,17.821782178234255,172564480	30403,74.25742574264274,282370048
1676816684183	30337,156,363859968	30367,105,257282048	30386,0,0	30403,133,283467776
1676816685185	30337,104,363859968	30367,8,257437696	30386,0,0	30403,137,291422208
1676816686187	30337,110.00000000000001,363859968	30367,5,261632000	30386,0,0	30403,112.99999999999999,299507712
1676816687188	30337,81,363933696	30367,6,276312064	30386,0,0	30403,54,299601920
1676816688192	30337,130.69306930687043,421916672	30367,19.80198019801067,290992128	30386,0,0	30403,65.34653465343521,299675648
1676816689193	30337,109.00000000000001,422187008	30367,48,305672192	30386,0,0	30403,48,299675648
1676816690194	30337,92,422264832	30367,47,317026304	30386,0,0	30403,108,299675648
1676816691227	30337,108.73786407771905,422805504	30367,7.766990291265648,320540672	30386,0,0	30403,62.13592233012518,299675648
1676816692228	30337,99,511311872	30367,71,322703360	30386,0,0	30403,59,299675648
1676816693231	30337,55.44554455442988,511311872	30367,62.37623762373362,322945024	30386,0,0	30403,32.67326732671761,361287680
1676816694232	30337,1,511471616	30367,0,0	30386,0,0	30403,1,361463808
