1676842490590	14999,0,69586944	15018,0,66879488	15052,0,67870720	15071,0,68165632	15105,0,69767168
1676842491594	14999,47.524752475247524,132657152	15018,52.475247524752476,134176768	15052,58.415841584158414,123088896	15071,58.415841584158414,123506688	15105,54.45544554455446,123666432
1676842492597	14999,4,132657152	15018,1,134176768	15052,0,123088896	15071,0,123506688	15105,0,123666432
1676842493599	14999,3,134754304	15018,1,134176768	15052,0,123088896	15071,0,123506688	15105,0,123666432
1676842494602	14999,12.871287128712872,138948608	15018,0.9900990099009901,136822784	15052,4.9504950495049505,136601600	15071,0,123506688	15105,0,123666432
1676842495606	14999,4,139776000	15018,3,137224192	15052,5,139534336	15071,5,139132928	15105,1,123748352
1676842496612	14999,3.9603960396039604,140042240	15018,4.9504950495049505,137334784	15052,0.9900990099009901,139800576	15071,4.9504950495049505,141660160	15105,8.91089108910891,137428992
1676842497615	14999,6,148336640	15018,4,139776000	15052,2,142168064	15071,3,142057472	15105,2,140312576
1676842498618	14999,6,149397504	15018,1,139776000	15052,0,142168064	15071,1,142057472	15105,0,142409728
1676842499619	14999,80.19801980198021,171163648	15018,50.495049504950494,145788928	15052,42.57425742574257,148901888	15071,35.64356435643564,149676032	15105,93.06930693069307,154025984
1676842500621	14999,224.00000000000003,250175488	15018,126,187928576	15052,1,149086208	15071,108,170897408	15105,237,252870656
1676842501622	14999,250,271081472	15018,56.99999999999999,205135872	15052,47,152326144	15071,212,255959040	15105,63,257269760
1676842502624	14999,304,336248832	15018,145,247439360	15052,0,152666112	15071,56.99999999999999,256786432	15105,197,271798272
1676842503626	14999,163,336560128	15018,148,274055168	15052,24,152805376	15071,220.00000000000003,277856256	15105,62,271798272
1676842504630	14999,182,336560128	15018,20,274112512	15052,0,152805376	15071,69,278020096	15105,156,284205056
1676842505631	14999,199.009900990099,338804736	15018,41.584158415841586,301395968	15052,29.7029702970297,156487680	15071,128.7128712871287,282075136	15105,53.46534653465347,284205056
1676842506632	14999,195,338804736	15018,118,301539328	15052,6,157294592	15071,45,282169344	15105,321,308531200
1676842507635	14999,170,338804736	15018,55.00000000000001,301539328	15052,22,157810688	15071,245.00000000000003,293515264	15105,110.00000000000001,309223424
1676842508639	14999,195,338804736	15018,17,301539328	15052,0,157814784	15071,142,310403072	15105,209,309485568
1676842509640	14999,170.2970297029703,338804736	15018,94.05940594059405,310198272	15052,0.9900990099009901,157814784	15071,144.55445544554456,310464512	15105,49.504950495049506,309583872
1676842510642	14999,172,339148800	15018,23,311042048	15052,1,157814784	15071,63,310464512	15105,176,311681024
1676842511644	14999,195,339148800	15018,25,311148544	15052,39,170758144	15071,120,310874112	15105,56.00000000000001,311840768
1676842512645	14999,206.99999999999997,339238912	15018,18,311148544	15052,3,170835968	15071,28.999999999999996,310943744	15105,134,311873536
1676842513647	14999,141,341307392	15018,9,311160832	15052,2,170852352	15071,0,0	15105,8,312152064
1676842514650	14999,192,341413888	15018,12,311279616	15052,90,212590592	15071,0,0	15105,89,312221696
1676842515653	14999,170.2970297029703,341413888	15018,28.71287128712871,311324672	15052,181.1881188118812,260276224	15071,0,0	15105,63.366336633663366,312221696
1676842516655	14999,202.99999999999997,392392704	15018,69,315650048	15052,22,260476928	15071,0,0	15105,135,312479744
1676842517657	14999,185,399417344	15018,11,315650048	15052,6,260562944	15071,0,0	15105,122,312602624
1676842518658	14999,173,399777792	15018,9,315650048	15052,51,261103616	15071,0,0	15105,105,312602624
1676842519659	14999,172,399777792	15018,56.00000000000001,315920384	15052,204.99999999999997,279826432	15071,0,0	15105,32,312602624
1676842520661	14999,154.45544554455446,399863808	15018,10.891089108910892,315920384	15052,34.65346534653465,279879680	15071,0,0	15105,85.14851485148515,312602624
1676842521662	14999,163,399863808	15018,15,315961344	15052,118,279920640	15071,0,0	15105,32,312987648
1676842522663	14999,158,399863808	15018,13,315961344	15052,36,280023040	15071,0,0	15105,103,312987648
1676842523665	14999,157,399863808	15018,9,315961344	15052,206.99999999999997,292155392	15071,0,0	15105,15,312987648
1676842524666	14999,162,461164544	15018,11,315961344	15052,267,306483200	15071,0,0	15105,30,312987648
1676842525667	14999,163,461254656	15018,12,315961344	15052,32,306896896	15071,0,0	15105,102,312987648
1676842526668	14999,162,461254656	15018,13,315961344	15052,124,310759424	15071,0,0	15105,33,312987648
1676842527669	14999,156,461254656	15018,9,315961344	15052,34,310759424	15071,0,0	15105,81,313061376
